id,gid,name,precision,vintage
28425,1434853809,Slam Dunk: Ketsui no Shōhoku Basuke-bu,special,1994-04-09
28414,1937941127,Bang Brave Bang Bravern,TV,
28394,3440986899,Duel Masters Win: Duel Wars,TV,2023-04-02
28393,2399445087,Ple Ple Pleiades 4,ONA,2022-07-05 to 2022-09-27
28392,1941699874,Overlord,movie,
28391,2302477159,Bakugan: Legends,TV,2023-03-01
28388,653601160,Go! Go! Vehicle Zoo,TV,2023-04-02
28365,3535242483,Zatsu Tabi -That's Journey-,TV,
28357,1583951869,Odekake Kozame,TV,2023-07
28336,3522478892,Pon no Michi,TV,2024-01
28307,3044796101,Mourning Children: Nagiko and the Girls Wearing Tsurubami Black,movie,
28306,1149764662,Bucchigiri?!,TV,2024-01
28305,3460982227,Bocchi the Rock!,movie,2024
28262,3047647683,Medalist,TV,
28243,2276705638,Beyblade X,TV,2023-10
28237,1801627697,My New Boss Is Goofy,TV,
28221,3140377721,Trip,movie,1973
28218,2687536516,Umi no Minwa no Machi,TV,2023-12
28195,2973109363,Fudanshi Shōkan: Isekai de Shinjū ni Hameraremashita,ONA 5,2023-05-10 to 2023-05-24
28194,1320455006,Fudanshi Shōkan: Isekai de Shinjū ni Hameraremashita,ONA 4,2022-12-09 to 2022-12-23
28190,572460231,Kyōkai Senki Kyokkō no Sōki,ONA,2023
28178,3195469399,"As a Reincarnated Aristocrat, I'll Use My Appraisal Skill",TV,2024
28140,278548614,Dropkick on My Devil! Apocalypse Arc,special,2023
28100,2104928078,Mamekichi Mameko NEET no Nichijō,TV 2,2023-05-17
28079,1367603736,Yamishibai: Japanese Ghost Stories,TV 11/2023,2023-07
28078,171617504,Oi! Tonbo,TV,2024
28074,1342646939,Yuzuki-san Chi no Yon-Kyōdai,TV,2023-10
28073,1823866567,Do-Over Damsel Conquers the Dragon Emperor,TV,
28071,2674694735,Komada - A Whisky Family,movie,2023-06
28028,2865511545,Ultraman,movie,2024
28019,2874794933,Concierge at Hokkyoku Department Store,movie,2023
28013,1969101683,Oroka na Tenshi wa Akuma to Odoru,TV,
28005,685520976,Bartender Glass of God,TV,2024-04
28002,1795435590,Girls Band Cry,TV,
27976,1875376657,Tying the Knot With an Amagami Sister,TV,
27920,1565389995,Gosu,TV,
27898,2326623458,Gekijōban Sylvanian Families: Freya Kara no Okurimono,movie,2023
27886,2007181815,Den Den no Den Nou Densya,TV,2023-04-12
27881,2478658973,365 Days to the Wedding,TV,
27876,2302051968,Giji Harem,TV,
27861,3213515165,BanG Dream! It's MyGo!!!!!,TV,2023-06-29
27842,3332826824,Mendako no Menmen,ONA,2023-04-08
27824,2871611591,Spy Classroom,TV 2,2023-07
27803,1032790255,[email protected] Cinderella Girls U149,OAV,2023-10-25
27752,1728280897,Pole Princess!!,movie,2023
27739,2774856014,Tokyo Revengers: Tenjiku Arc,TV,
27738,697721271,Quintessential Quintuplets ∽,special,2023-07
27737,3034082562,Cardcaptor Sakura: Clear Card,TV 2,
27728,1546278214,Bikkuri-Men,TV,2023-10
27727,1882651531,Shin Yaranai ka,OAV,
27725,2440978486,Shinmai Ossan Bōkensha,TV,
27712,1978826054,Scott Pilgrim,ONA,
27706,2172558187,Wind Breaker,TV,
27704,2257940655,Bungo Stray Dogs,TV 5,2023-07
27694,2690346979,Block Busters,ONA,2023-03-28
27688,2920464560,Malevolent Spirits: Mononogatari,TV 2,2023-07
27687,2842270204,Gundam Build Metaverse,ONA,2023-10
