0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
"{'role': 'Haga', 'name': 'Kaito Ishikawa'}","{'role': 'Nikola', 'name': 'Hinaki Yano'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Alisa Mikhailovna Kujō', 'name': 'Sumire Uesaka'}","{'role': 'Masachika Kuze', 'name': 'Kōhei Amasaki'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Hakari Hanazono', 'name': 'Kaede Hondo'}","{'role': 'Karane Inda', 'name': 'Miyu Tomita'}","{'role': 'Rentarō Aijō', 'name': 'Wataru Katō'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Oyaji-dono', 'name': 'Shigeru Chiba'}","{'role': 'Okan', 'name': 'Kujira'}","{'role': 'Hiromu Arakawa', 'name': 'Mutsumi Tamura'}","{'role': 'Ishii-san', 'name': 'Mariko Honda'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Ars the Starrider', 'name': 'Jun Fukuyama'}","{'role': 'Hargent the Silencer', 'name': 'Akio Ohtsuka'}","{'role': 'Elea the Red Tag', 'name': 'Mamiko Noto'}","{'role': 'Taren the Punished', 'name': 'Romi Park'}","{'role': 'Regnejee the Sunset Wings', 'name': 'Showtaro Morikubo'}","{'role': 'Sōjirō the Willow Sword', 'name': 'Yuuki Kaji'}","{'role': 'Kia the World Word', 'name': 'Aoi Yūki'}","{'role': 'Dakai the Magpie', 'name': 'Sōichiro Hoshi'}","{'role': 'Yuno the Distant Talon', 'name': 'Reina Ueda'}","{'role': 'Curte the Clear Sky', 'name': 'Sora Amamiya'}","{'role': 'Nihilo the Vortical Stampede', 'name': 'Rie Takahashi'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Chloe', 'name': 'Ryoko Shiraishi'}","{'role': 'Adonis', 'name': 'Kaito Ishikawa'}","{'role': 'Doroka', 'name': 'Azumi Waki'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Yuki Tanaka/Awayuki Kokorone', 'name': 'Ayane Sakura'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Kiki', 'name': 'Chiaki Takahashi'}","{'role': 'Nyagosuke', 'name': 'Chika Anzai'}","{'role': 'Kagura Baldwin', 'name': 'Sumire Uesaka'}","{'role': 'Tsukuyo Aoba', 'name': 'Yū Serizawa'}","{'role': 'Kurage Aoba', 'name': 'Nanami Yamashita'}","{'role': 'Yuzuki Aoba', 'name': 'Aimi'}","{'role': 'Mia Christoph', 'name': 'Madoka Asahina'}","{'role': 'Akemitsu Akagami', 'name': 'Masayuki Akasaka'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Kota Kijima', 'name': 'Akira Ishida'}","{'role': 'Masaru Hinamoto', 'name': 'Daisuke Namikawa'}","{'role': 'Tsubaki', 'name': 'Misato Matsuoka'}","{'role': 'Ranna Himawari', 'name': 'Sumire Uesaka'}","{'role': 'Amano Sumire', 'name': 'Reina Ueda'}","{'role': 'Kazeno Sumire', 'name': 'Reina Ueda'}","{'role': 'Raino Sumire', 'name': 'Reina Ueda'}","{'role': 'Erika Otohime', 'name': 'Yuri Komagata'}","{'role': 'Dōji Matsugamiya', 'name': 'Daiki Yamashita'}","{'role': 'Sayuri Osanada', 'name': 'Naomi Ōzora'}","{'role': 'Haruya Iinuma', 'name': 'Haruki Ishiya'}","{'role': 'Aoi Furukawa', 'name': 'Hiroki Nanami'}","{'role': 'Azami Himeno', 'name': 'Yuki Yomichi'}","{'role': 'Tōsuke Rokudō', 'name': 'Gen Sato'}","{'role': 'Mizue Tsuyukusa', 'name': 'Hitomi Sekine'}","{'role': 'Yui Yashiya', 'name': 'Mayuko Kazama'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Amber', 'name': 'Mikako Komatsu'}","{'role': 'Saphir', 'name': 'Ai Kakuma'}","{'role': 'Hime', 'name': 'Akari Kitō'}","{'role': 'Granart', 'name': 'Hitomi Ueda'}","{'role': 'Nephrites', 'name': 'Miyuri Shimabukuro'}","{'role': 'Satō', 'name': 'Gen Sato'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Ren Azuma', 'name': 'Ryohei Kimura'}","{'role': 'Tokita-kun', 'name': 'Kentarō Tone'}","{'role': 'Ai Mie', 'name': 'Shion Wakayama'}","{'role': 'Asuka Kawato', 'name': 'Aya Uchida'}","{'role': 'Narumi Someya', 'name': 'Shino Shimoji'}","{'role': 'Tomo Yasaka', 'name': 'Yūsuke Kobayashi'}","{'role': 'Maho Tōyama', 'name': 'Minori Suzuki'}","{'role': 'Yuika Hibuchi', 'name': 'Saki Miyashita'}","{'role': 'Kaede Komura', 'name': 'Masahiro Itou'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
