id,plot_summary,num_episodes,title
27598,"Nikola is just a village girl working at the inn...until the day dragons invade, and she meets Haga, a scholar of everything around him. He's a part of an elite society called ""Seeker,"" created to address a series of maladies plaguing their usually peaceful world. But both Nikola and Haga have secrets they hide...ones that will change each other's very existence... <em class=de-emphasized>(from manga)</em>",,Quality Assurance in Another World
27443,"Masachika Kuse sits next to Arya, a girl of Russian and Japanese descent. She's beautiful, haughty, and an exceptional student, while Masachika is nerdy and known for being a slacker. He's an easy target for her comments in Russian, which she's all too happy to translate—except he can understand what she's really saying. <em class=de-emphasized>(from manga )</em>",,Alya Sometimes Hides Her Feelings in Russian
27380,"Rentaro Aijo is a hopeless romantic – emphasis on ""hopeless"". Before starting high school he'd already confessed his love to 100 different girls, and was rejected every time. But a trip to a local shrine of the God of Love brings him good fortune, of a kind. Due to a clerical error in the heavens, Rentaro is indeed guaranteed to find that special someone – 100 of them, to be precise. He is destined to have triple-digit soulmates, and it's up to him to find them all, cherish them all, and keep this Love Hectogon stable, lest disaster befall him and his many, many, many, many loves. <em class=de-emphasized>(from manga)</em>",,"100 Girlfriends Who Really, Really, Really, Really, Really Love You"
27206,"Author Hiromu Arakawa recounts her life on a farm in Hokkaido raising cows, growing vegetables and fighting comical pests. <em class=de-emphasized>(from manga)</em>",,Hyakushō Kizoku
27125,"In a world where the Demon King has died, a host of demigods capable of felling him have inherited the world. A master fencer who can figure out how to take out their opponents with a single glance; a lancer so swift they can break the sound barrier; a wyvern rogue who fights with three legendary weapons at once; an all-powerful wizard who can speak thoughts into being; an angelic assassin who deals instant death. Eager to attain the title of “True Hero,” these champions each pursue challenges against formidable foes and spark conflicts among themselves. The battle to determine the mightiest of the mighty begins. <em class=de-emphasized>(from manga)</em>",,Ishura
27066,"Humanity long lived in harmony with witches, but an advanced scientific revolution has made the powers of a witch unnecessary. Succumbing to resentment and fear, the greatest nation in the world begins a brutal witch hunt and eliminates all witches from the land. After being forced to watch his beloved teacher die, Adonis, a witch's apprentice, swears revenge on the empire that took everything away from him. <em class=de-emphasized>(from manga)</em>",,Kingdoms of Ruin
26966,"Twenty-year-old former wage slave Yuki Tanaka now works among her idols: the streamers of Live-On, one of Japan's top VTuber companies. As the gorgeous, polite Awayuki Kokorone, she delivers only the most ladylike content. Unfortunately, her subscriber count and savings are at rock bottom. One evening, after Yuki thinks she's ended her stream, she cracks a few cold ones—and more than a few crude jokes—while watching Live-On's video archives. But her viewers hear it all, and clips of her bawdy, drunken commentary go viral overnight. Yuki thinks her career is over...until her manager reveals that everyone at Live-On has been waiting for her to snap all along and gives her free rein to drink on-stream. <em class=de-emphasized>(from manga)</em>",,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream
26950,"Akemitsu Akegami was always told by his father that ""no one can live alone""...but he's sure determined. After all, his father sure wasn't saying it with the best intentions, and Akemitsu has no desire to become like that creep. But when a chance encounter with a young woman leaves him with thoughts that are all too impure, he decides to do what he must—become a Buddhist monk and renounce worldly ways. But the temple he decides to devote himself to...is full of women. <em class=de-emphasized>(from manga)</em>",,TenPuru
26949,"Tо̄suke Rokudо̄ is a timid high school boy who gets bullied by delinquents. He receives a scroll from his late grandfather, leaving a mark on his forehead. The mark's effect causes a delinquent girl named Ranna Himawari to fall in love with him. <em class=de-emphasized>(from manga)</em>",,Rokudo's Bad Girls
26935,"When Satou's best friend, Hime, tells him that she's moving, he decides to follow. After crashing her wedding in another world, he ends up as the groom when she suddenly kisses him. Prophecy states that her husband is destined to be the Ring King: a hero of immense power who will save the world from the Abyssal King. <em class=de-emphasized>(from manga)</em>",,Tales of Wedding Rings
