id,gid,name,precision,vintage
28436,1578294656,Higurashi When They Cry: GOU Anthology Comic,manga,2021-07-02
28435,722354025,Kiss the Scars of the Girls,manga,2021-12-21
28434,2309461010,Lord Hades's Ruthless Marriage,manga,2020-07-21
28431,528041561,Spider-Man: Octopus Girl,manga,
28430,1887727897,Mahjong Hōrōki Fuun-hen,manga,2020-06-15
28429,1143492651,Mahjong Hōrōki,manga,2017-01-06 to 2020-06-08
28428,905575915,Kirio Fanclub,manga,2022-06-24
28427,2203708587,Reliance,manga,2021-11-26
28426,3229962178,Anjū,manga,2018-08-22
28424,2751299694,Ore wa Lolicon ja nai!,manga,2020-01-10
28423,2741666067,Kairaku no Rō,manga,2022-09-29
28422,3351932208,Omae no Kanojo wa,manga,2022-05-01 to 2023-01-01
28421,2997083854,Yūsha Party o Tsuihō Sareta Shiro Madōshi,manga,2021-01-22
28419,2889869064,"Yūsha Party ni Kawaii Ko ga Itanode, Kokuhaku Shite Mita",manga,2021-01-25
28417,2871762205,Yūsha Party o Tsuihō Sareta node,manga,2022-06-04
28415,1705004781,Succubus Tamer no Isekai Musō,manga,2023-02-01
28413,1390951672,Sekaiju no Shita Kara Hajimeru Hanryū Shōjo to Boku no Musō Life,manga,2020-12-25
28412,949546386,Mikaeshi Bijin: Fukushū Dieter Iroha,manga,2021-09-19
28411,2180115880,Darashinai Desu Hotta-sensei!,manga,2022-03-15
28410,2513108562,Yurameki Lagoon,manga,2021-07-09 to 2023-04-07
28409,2468076109,Hinkon Joshi no Kareinaru Hibi,manga,2022-04-17
28408,3086484394,Reiwa Yūshun-tachi no Teiseki,manga,2021-12-07
28407,2765653914,Hakoiri Create,manga,2022-06-17
28406,2021110798,Sono Kuchizuke wa (I)sekai o Sukuu,manga,2023-01-17
28405,3952855107,Ringo to Hachimitsu walk,manga,2009-04-25
28404,2210179645,Ringo to Hachimitsu,manga,1997-12 to 2000-02
28403,3082558680,Gintarō-san Otanomi Mōsu,manga,2022-06-28
28402,2942692853,Hanabi wa Samenai Yume o Miru,manga,2022-05-02
28401,522077765,Komiyama ga Kirai da,manga,2022-09-13
28400,2515382918,"Double the Trouble, Twice as Nice",manga,2021-05-24
28399,1788780595,Bar Hakushikiten Resurrection,manga,2019-11-22
28398,653754089,Red Ranger Becomes an Adventurer in Another World,manga,2020-10-12
28397,557705303,Ordinary Soldier Dreams of the Past,manga,2016-05-12
28396,1928939628,Deathbound Duke's Daughter and the Seven Nobles,manga,2020-06-25 to 2023-05-25
28389,1923217974,Bar Hakushikiten: Onna to Otoko Yokubō no Hyakumonogatari,manga,2012-09-25
28387,1910897292,Koikoi Koi,manga,2021-11-05 to 2023-04-05
28386,2356399990,Ao ni Rakurai,manga,2022-09-02
28385,2152562470,Mahiru no Lunch Sushi,manga,2021-02-22
28384,1069262663,Leo to Mikatsuki,manga,2021-12-17
28383,3379973363,Re:blue,manga,2022-12-13
28382,2321735518,Sorette Pakuri janai Desu ka?,manga,2023-04-04 to 2023-05-16
28380,2528773499,Kakushita Gari no Dōki-kun,manga,2022-09-08
28379,1655428117,Nijinohara de Koi wa Dekinai,manga,2023-01-04
28378,301382107,Sera-san Chi no,manga,2019-07-18 to 2022-12-15
28377,2681372156,Oishii Ni Kyoten,manga,2022-10-26 to 2023-03-31
28376,2626783036,Uso to Kiss to Junjō,manga,2018-04-25 to 2022-08-01
28375,2993106154,I Want You to Make Me Beautiful!,manga,2021-11-22
28374,1895261154,Condemned Villainess Goes Back in Time,manga,2022-05-23
28372,196506977,How Do I Get Together With My Childhood Friend?,manga,2022-04-01
28371,1748287157,Ōritsu Mahō Gakuen no Saika-sei,manga,2021-01-28
28369,1969388633,Ore no Ie ga Maryoku Spot Datta Ken,manga,2018-05-26
28367,2145654186,Shitsugyō Kenja no Nariagari,manga,2020-06-07
28366,608838302,Shrink,manga,2019-06-05
28364,2092758478,Inu to Kuzu,manga,2021-06-21 to 2022-05-23
